concentration_pM,sensor_surface_c_avg_6000s_pM,Kd_pM,alpha0,noise_floor_pA,lambda_D_nm,effective_charge_distance_nm,N_bound,alpha_eff,DeltaIds_screened_A,DeltaIds_screened_pA,detection_threshold_pA,detectable,required_alpha0_for_detection,maximum_allowed_distance_nm,maximum_allowed_noise_floor_pA
0.5,0.436455382421082,1.0,0.01,100.0,9.6,0.5,60.748659453509866,0.009492497594001751,1.154881970092895e-10,115.48819700928951,300.0,False,0.02597668054129107,0.0,38.49606566976316
0.5,0.436455382421082,1.0,0.01,100.0,9.6,1.0,60.748659453509866,0.009010751057212905,1.0962714322462809e-10,109.6271432246281,300.0,False,0.02736548551532482,0.0,36.542381074876026
0.5,0.436455382421082,1.0,0.01,100.0,9.6,2.0,60.748659453509866,0.00811936346150635,9.878228967105482e-11,98.78228967105483,300.0,False,0.03036981639107581,0.0,32.927429890351604
0.5,0.436455382421082,1.0,0.01,100.0,9.6,5.0,60.748659453509866,0.0059402532055363505,7.227066698647813e-11,72.27066698647813,300.0,False,0.041510617309804286,0.0,24.090222328826044
0.5,0.436455382421082,1.0,0.01,100.0,9.6,10.0,60.748659453509866,0.003528660814588489,4.2930606123267684e-11,42.93060612326769,300.0,False,0.06988021532670718,0.0,14.310202041089228
0.5,0.436455382421082,1.0,0.03,1.0,0.8,0.5,60.748659453509866,0.016057842855569708,1.9536389668616693e-10,195.36389668616692,3.0,True,0.0004606787719052115,3.841001334142101,65.12129889538897
0.5,0.436455382421082,1.0,0.03,1.0,0.8,1.0,60.748659453509866,0.008595143905805703,1.0457075842127412e-10,104.57075842127412,3.0,True,0.0008606612532867523,3.841001334142101,34.85691947375804
0.5,0.436455382421082,1.0,0.03,1.0,0.8,2.0,60.748659453509866,0.002462549958716964,2.996002389900316e-11,29.96002389900316,3.0,True,0.0030040029441696977,3.841001334142101,9.986674633001053
0.5,0.436455382421082,1.0,0.03,1.0,0.8,5.0,60.748659453509866,5.791362408683128e-05,7.045922278967153e-13,0.7045922278967153,3.0,False,0.12773345551746976,3.841001334142101,0.23486407596557177
0.5,0.436455382421082,1.0,0.03,1.0,0.8,10.0,60.748659453509866,1.1179959516236012e-07,1.3601829806971107e-15,0.0013601829806971107,3.0,False,66.16756809725253,3.841001334142101,0.00045339432689903684
0.5,0.436455382421082,1.0,0.03,1.0,3.0,0.5,60.748659453509866,0.02539445174671842,3.089555111524184e-10,308.9555111524184,3.0,True,0.0002913040769666022,14.403755003032877,102.98517038413948
