concentration_pM,Kd_pM,noise_floor_pA,lambda_D_nm,effective_charge_distance_nm,N_bound,required_alpha0_for_detection
1.0,1.0,100.0,0.8,0.5,93.18408595319649,0.030032615060459098
1.0,1.0,100.0,0.8,1.0,93.18408595319649,0.056108311677820794
1.0,1.0,100.0,0.8,2.0,93.18408595319649,0.19583725051975578
1.0,1.0,100.0,0.8,5.0,93.18408595319649,8.327211788017374
1.0,1.0,100.0,0.8,10.0,93.18408595319649,4313.6024999223955
1.0,1.0,100.0,3.0,0.5,93.18408595319649,0.018990723564055206
1.0,1.0,100.0,3.0,1.0,93.18408595319649,0.022434889030249608
1.0,1.0,100.0,3.0,2.0,93.18408595319649,0.031310409886043965
1.0,1.0,100.0,3.0,5.0,93.18408595319649,0.08511051823483776
1.0,1.0,100.0,3.0,10.0,93.18408595319649,0.45061679198469645
1.0,1.0,100.0,9.6,0.5,93.18408595319649,0.01693474270626116
1.0,1.0,100.0,9.6,1.0,93.18408595319649,0.017840133788353148
1.0,1.0,100.0,9.6,2.0,93.18408595319649,0.019798720079024397
1.0,1.0,100.0,9.6,5.0,93.18408595319649,0.02706164179069001
1.0,1.0,100.0,9.6,10.0,93.18408595319649,0.045556377572370826
1.0,10.0,1.0,0.8,0.5,16.051403480478456,0.0017434997423101755
1.0,10.0,1.0,0.8,1.0,16.051403480478456,0.0032572863453551072
1.0,10.0,1.0,0.8,2.0,16.051403480478456,0.011369046455946817
1.0,10.0,1.0,0.8,5.0,16.051403480478456,0.48342415661583776
1.0,10.0,1.0,0.8,10.0,16.051403480478456,250.4199128814811
1.0,10.0,1.0,3.0,0.5,16.051403480478456,0.001102478807575003
1.0,10.0,1.0,3.0,1.0,16.051403480478456,0.0013024248192924307
1.0,10.0,1.0,3.0,2.0,16.051403480478456,0.0018176802605450212
1.0,10.0,1.0,3.0,5.0,16.051403480478456,0.004940967222188233
1.0,10.0,1.0,3.0,10.0,16.051403480478456,0.026159901797574145
1.0,10.0,1.0,9.6,0.5,16.051403480478456,0.0009831218322153032
1.0,10.0,1.0,9.6,1.0,16.051403480478456,0.001035682993310982
1.0,10.0,1.0,9.6,2.0,16.051403480478456,0.0011493858688748715
1.0,10.0,1.0,9.6,5.0,16.051403480478456,0.0015710242146271848
1.0,10.0,1.0,9.6,10.0,16.051403480478456,0.002644709173613981
1.0,10.0,5.0,0.8,0.5,16.051403480478456,0.008717498711550876
1.0,10.0,5.0,0.8,1.0,16.051403480478456,0.016286431726775536
1.0,10.0,5.0,0.8,2.0,16.051403480478456,0.056845232279734086
1.0,10.0,5.0,0.8,5.0,16.051403480478456,2.4171207830791888
1.0,10.0,5.0,0.8,10.0,16.051403480478456,1252.0995644074055
1.0,10.0,5.0,3.0,0.5,16.051403480478456,0.005512394037875014
1.0,10.0,5.0,3.0,1.0,16.051403480478456,0.006512124096462153
1.0,10.0,5.0,3.0,2.0,16.051403480478456,0.009088401302725105
1.0,10.0,5.0,3.0,5.0,16.051403480478456,0.024704836110941167
1.0,10.0,5.0,3.0,10.0,16.051403480478456,0.1307995089878707
1.0,10.0,5.0,9.6,0.5,16.051403480478456,0.0049156091610765154
1.0,10.0,5.0,9.6,1.0,16.051403480478456,0.00517841496655491
1.0,10.0,5.0,9.6,2.0,16.051403480478456,0.005746929344374358
1.0,10.0,5.0,9.6,5.0,16.051403480478456,0.007855121073135922
1.0,10.0,5.0,9.6,10.0,16.051403480478456,0.013223545868069904
1.0,10.0,10.0,0.8,0.5,16.051403480478456,0.017434997423101752
1.0,10.0,10.0,0.8,1.0,16.051403480478456,0.03257286345355107
1.0,10.0,10.0,0.8,2.0,16.051403480478456,0.11369046455946817
1.0,10.0,10.0,0.8,5.0,16.051403480478456,4.8342415661583775
1.0,10.0,10.0,0.8,10.0,16.051403480478456,2504.199128814811
1.0,10.0,10.0,3.0,0.5,16.051403480478456,0.011024788075750028
1.0,10.0,10.0,3.0,1.0,16.051403480478456,0.013024248192924305
1.0,10.0,10.0,3.0,2.0,16.051403480478456,0.01817680260545021
1.0,10.0,10.0,3.0,5.0,16.051403480478456,0.049409672221882334
1.0,10.0,10.0,3.0,10.0,16.051403480478456,0.2615990179757414
1.0,10.0,10.0,9.6,0.5,16.051403480478456,0.009831218322153031
1.0,10.0,10.0,9.6,1.0,16.051403480478456,0.01035682993310982
1.0,10.0,10.0,9.6,2.0,16.051403480478456,0.011493858688748715
1.0,10.0,10.0,9.6,5.0,16.051403480478456,0.015710242146271845
1.0,10.0,10.0,9.6,10.0,16.051403480478456,0.026447091736139808
1.0,10.0,50.0,0.8,0.5,16.051403480478456,0.08717498711550876
1.0,10.0,50.0,0.8,1.0,16.051403480478456,0.16286431726775535
1.0,10.0,50.0,0.8,2.0,16.051403480478456,0.5684523227973408
1.0,10.0,50.0,0.8,5.0,16.051403480478456,24.171207830791886
1.0,10.0,50.0,0.8,10.0,16.051403480478456,12520.995644074055
1.0,10.0,50.0,3.0,0.5,16.051403480478456,0.055123940378750146
1.0,10.0,50.0,3.0,1.0,16.051403480478456,0.06512124096462153
1.0,10.0,50.0,3.0,2.0,16.051403480478456,0.09088401302725105
1.0,10.0,50.0,3.0,5.0,16.051403480478456,0.24704836110941167
1.0,10.0,50.0,3.0,10.0,16.051403480478456,1.3079950898787072
1.0,10.0,50.0,9.6,0.5,16.051403480478456,0.04915609161076516
1.0,10.0,50.0,9.6,1.0,16.051403480478456,0.051784149665549103
1.0,10.0,50.0,9.6,2.0,16.051403480478456,0.057469293443743574
