concentration_pM,Kd_pM,alpha0,noise_floor_pA,lambda_D_nm,maximum_allowed_distance_nm
1.0,10.0,0.1,1.0,0.8,3.7394205973238677
1.0,10.0,0.1,1.0,3.0,14.022827239964503
1.0,10.0,0.1,1.0,9.6,44.87304716788641
1.0,10.0,0.1,5.0,0.8,2.4518702673765875
1.0,10.0,0.1,5.0,3.0,9.194513502662202
1.0,10.0,0.1,5.0,9.6,29.422443208519045
1.0,10.0,0.1,10.0,0.8,1.897352522928631
1.0,10.0,0.1,10.0,3.0,7.115071960982366
1.0,10.0,0.1,10.0,9.6,22.76823027514357
1.0,10.0,0.1,50.0,0.8,0.6098021929813506
1.0,10.0,0.1,50.0,3.0,2.286758223680065
1.0,10.0,0.1,50.0,9.6,7.317626315776208
1.0,10.0,0.1,100.0,0.8,0.05528444853339436
1.0,10.0,0.1,100.0,3.0,0.20731668200022885
1.0,10.0,0.1,100.0,9.6,0.6634133824007323
1.0,100.0,0.01,1.0,0.8,0.1152829466841524
1.0,100.0,0.01,1.0,3.0,0.43231105006557147
1.0,100.0,0.01,1.0,9.6,1.3833953602098288
1.0,100.0,0.01,5.0,0.8,0.0
1.0,100.0,0.01,5.0,3.0,0.0
1.0,100.0,0.01,5.0,9.6,0.0
1.0,100.0,0.01,10.0,0.8,0.0
1.0,100.0,0.01,10.0,3.0,0.0
1.0,100.0,0.01,10.0,9.6,0.0
1.0,100.0,0.01,50.0,0.8,0.0
1.0,100.0,0.01,50.0,3.0,0.0
1.0,100.0,0.01,50.0,9.6,0.0
1.0,100.0,0.01,100.0,0.8,0.0
1.0,100.0,0.01,100.0,3.0,0.0
1.0,100.0,0.01,100.0,9.6,0.0
1.0,100.0,0.03,1.0,0.8,0.9941727776186401
1.0,100.0,0.03,1.0,3.0,3.7281479160699003
1.0,100.0,0.03,1.0,9.6,11.93007333142368
1.0,100.0,0.03,5.0,0.8,0.0
1.0,100.0,0.03,5.0,3.0,0.0
1.0,100.0,0.03,5.0,9.6,0.0
1.0,100.0,0.03,10.0,0.8,0.0
1.0,100.0,0.03,10.0,3.0,0.0
1.0,100.0,0.03,10.0,9.6,0.0
1.0,100.0,0.03,50.0,0.8,0.0
1.0,100.0,0.03,50.0,3.0,0.0
1.0,100.0,0.03,50.0,9.6,0.0
1.0,100.0,0.03,100.0,0.8,0.0
1.0,100.0,0.03,100.0,3.0,0.0
