"concentration_pM","Kd_pM","alpha_0","noise_floor_A","noise_floor_pA","N_bound","DeltaIds_A","DeltaIds_pA","detection_threshold_pA","sensitivity_A_per_pM","LOD_pM","detectable","scientific_conclusion"
"0.5","10","0.1","1E-10","100","8.36133875432868","1.67454269764301E-10","167.454269764301","300","1.75615290038568E-10","1.70827950080038","False","not detectable under this coupling/noise/affinity condition"
"1","10","0.1","1E-10","100","16.0514034804785","3.21464794991611E-10","321.464794991611","300","1.75615290038568E-10","1.70827950080038","True","detectable under this coupling/noise/affinity condition"
"10","10","0.1","1E-10","100","93.1840859531965","1.86621706468574E-09","1866.21706468574","300","1.75615290038568E-10","1.70827950080038","True","detectable under this coupling/noise/affinity condition"
"100","10","0.1","1E-10","100","179.384876805256","3.59257822637938E-09","3592.57822637938","300","1.75615290038568E-10","1.70827950080038","True","detectable under this coupling/noise/affinity condition"
"1000","10","0.1","1E-10","100","197.67057401879","3.9587896865284E-09","3958.7896865284","300","1.75615290038568E-10","1.70827950080038","True","detectable under this coupling/noise/affinity condition"
"0.5","100","0.01","1E-11","10","0.868835309993753","1.74003454058267E-12","1.74003454058267","30","3.19450103192628E-12","9.39113798999465","False","not detectable under this coupling/noise/affinity condition"
"1","100","0.01","1E-11","10","1.73015209306865","3.46501157097599E-12","3.46501157097599","30","3.19450103192628E-12","9.39113798999465","False","not detectable under this coupling/noise/affinity condition"
"10","100","0.01","1E-11","10","16.0514034804785","3.21464794991611E-11","32.1464794991611","30","3.19450103192628E-12","9.39113798999465","True","detectable under this coupling/noise/affinity condition"
"100","100","0.01","1E-11","10","93.1840859531965","1.86621706468574E-10","186.621706468574","30","3.19450103192628E-12","9.39113798999465","True","detectable under this coupling/noise/affinity condition"
"1000","100","0.01","1E-11","10","179.384876805256","3.59257822637938E-10","359.257822637938","30","3.19450103192628E-12","9.39113798999465","True","detectable under this coupling/noise/affinity condition"
"0.5","100","0.01","5E-11","50","0.868835309993753","1.74003454058267E-12","1.74003454058267","150","3.19450103192628E-12","46.9556899499732","False","not detectable under this coupling/noise/affinity condition"
"1","100","0.01","5E-11","50","1.73015209306865","3.46501157097599E-12","3.46501157097599","150","3.19450103192628E-12","46.9556899499732","False","not detectable under this coupling/noise/affinity condition"
"10","100","0.01","5E-11","50","16.0514034804785","3.21464794991611E-11","32.1464794991611","150","3.19450103192628E-12","46.9556899499732","False","not detectable under this coupling/noise/affinity condition"
"100","100","0.01","5E-11","50","93.1840859531965","1.86621706468574E-10","186.621706468574","150","3.19450103192628E-12","46.9556899499732","True","detectable under this coupling/noise/affinity condition"
"1000","100","0.01","5E-11","50","179.384876805256","3.59257822637938E-10","359.257822637938","150","3.19450103192628E-12","46.9556899499732","True","detectable under this coupling/noise/affinity condition"
"0.5","100","0.01","1E-10","100","0.868835309993753","1.74003454058267E-12","1.74003454058267","300","3.19450103192628E-12","93.9113798999465","False","not detectable under this coupling/noise/affinity condition"
"1","100","0.01","1E-10","100","1.73015209306865","3.46501157097599E-12","3.46501157097599","300","3.19450103192628E-12","93.9113798999465","False","not detectable under this coupling/noise/affinity condition"
"10","100","0.01","1E-10","100","16.0514034804785","3.21464794991611E-11","32.1464794991611","300","3.19450103192628E-12","93.9113798999465","False","not detectable under this coupling/noise/affinity condition"
"100","100","0.01","1E-10","100","93.1840859531965","1.86621706468574E-10","186.621706468574","300","3.19450103192628E-12","93.9113798999465","False","not detectable under this coupling/noise/affinity condition"
"1000","100","0.01","1E-10","100","179.384876805256","3.59257822637938E-10","359.257822637938","300","3.19450103192628E-12","93.9113798999465","True","detectable under this coupling/noise/affinity condition"
"0.5","100","0.03","1E-11","10","0.868835309993753","5.22010362174802E-12","5.22010362174802","30","9.58350309577885E-12","3.13037932999821","False","not detectable under this coupling/noise/affinity condition"
"1","100","0.03","1E-11","10","1.73015209306865","1.0395034712928E-11","10.395034712928","30","9.58350309577885E-12","3.13037932999821","False","not detectable under this coupling/noise/affinity condition"
