concentration_pM,Kd_pM,alpha0,lambda_D_nm,effective_charge_distance_nm,maximum_allowed_noise_floor_pA
10.0,10.0,0.03,3.0,2.0,95.81477888404122
10.0,10.0,0.03,3.0,5.0,35.2482873118264
10.0,10.0,0.03,3.0,10.0,6.657541515012793
10.0,10.0,0.03,9.6,0.5,177.15060996414388
10.0,10.0,0.03,9.6,1.0,168.16017388605783
10.0,10.0,0.03,9.6,2.0,151.52494646249016
10.0,10.0,0.03,9.6,5.0,110.85801900726098
10.0,10.0,0.03,9.6,10.0,65.85247027672916
10.0,10.0,0.1,0.8,0.5,332.9713373234018
10.0,10.0,0.1,0.8,1.0,178.2267136716026
10.0,10.0,0.1,0.8,2.0,51.06280839554178
10.0,10.0,0.1,0.8,5.0,1.2008821505404397
10.0,10.0,0.1,0.8,10.0,0.002318247914632818
10.0,10.0,0.1,3.0,0.5,526.5728799784944
10.0,10.0,0.1,3.0,1.0,445.7343197248141
10.0,10.0,0.1,3.0,2.0,319.3825962801375
10.0,10.0,0.1,3.0,5.0,117.49429103942134
10.0,10.0,0.1,3.0,10.0,22.191805050042646
10.0,10.0,0.1,9.6,0.5,590.5020332138129
10.0,10.0,0.1,9.6,1.0,560.5339129535262
10.0,10.0,0.1,9.6,2.0,505.08315487496725
10.0,10.0,0.1,9.6,5.0,369.52673002420323
10.0,10.0,0.1,9.6,10.0,219.5082342557639
10.0,100.0,0.01,0.8,0.5,5.735590179525797
10.0,100.0,0.01,0.8,1.0,3.070040192892469
10.0,100.0,0.01,0.8,2.0,0.8795812418172759
10.0,100.0,0.01,0.8,5.0,0.020685768104771587
10.0,100.0,0.01,0.8,10.0,3.9932926598903525e-05
10.0,100.0,0.01,3.0,0.5,9.070469138536877
10.0,100.0,0.01,3.0,1.0,7.677986361955778
10.0,100.0,0.01,3.0,2.0,5.501517630499854
10.0,100.0,0.01,3.0,5.0,2.0238952315031233
10.0,100.0,0.01,3.0,10.0,0.38226443193021925
10.0,100.0,0.01,9.6,0.5,10.171679310047104
10.0,100.0,0.01,9.6,1.0,9.655464137757955
10.0,100.0,0.01,9.6,2.0,8.700298368718379
10.0,100.0,0.01,9.6,5.0,6.365274263053338
10.0,100.0,0.01,9.6,10.0,3.781134084522063
10.0,100.0,0.03,0.8,0.5,17.20677053857739
10.0,100.0,0.03,0.8,1.0,9.210120578677408
10.0,100.0,0.03,0.8,2.0,2.6387437254518273
10.0,100.0,0.03,0.8,5.0,0.062057304314314755
10.0,100.0,0.03,0.8,10.0,0.00011979877979671056
10.0,100.0,0.03,3.0,0.5,27.211407415610626
10.0,100.0,0.03,3.0,1.0,23.033959085867334
10.0,100.0,0.03,3.0,2.0,16.504552891499557
10.0,100.0,0.03,3.0,5.0,6.0716856945093705
10.0,100.0,0.03,3.0,10.0,1.1467932957906575
10.0,100.0,0.03,9.6,0.5,30.515037930141315
10.0,100.0,0.03,9.6,1.0,28.966392413273862
10.0,100.0,0.03,9.6,2.0,26.100895106155132
10.0,100.0,0.03,9.6,5.0,19.095822789160014
10.0,100.0,0.03,9.6,10.0,11.343402253566188
10.0,100.0,0.1,0.8,0.5,57.35590179525798
10.0,100.0,0.1,0.8,1.0,30.700401928924702
10.0,100.0,0.1,0.8,2.0,8.79581241817276
10.0,100.0,0.1,0.8,5.0,0.20685768104771585
10.0,100.0,0.1,0.8,10.0,0.00039932926598903524
10.0,100.0,0.1,3.0,0.5,90.70469138536879
10.0,100.0,0.1,3.0,1.0,76.77986361955777
10.0,100.0,0.1,3.0,2.0,55.01517630499853
10.0,100.0,0.1,3.0,5.0,20.238952315031234
10.0,100.0,0.1,3.0,10.0,3.8226443193021917
10.0,100.0,0.1,9.6,0.5,101.71679310047105
10.0,100.0,0.1,9.6,1.0,96.55464137757956
10.0,100.0,0.1,9.6,2.0,87.00298368718379
10.0,100.0,0.1,9.6,5.0,63.652742630533375
10.0,100.0,0.1,9.6,10.0,37.81134084522063
100.0,1.0,0.01,0.8,0.5,70.63291409391465
100.0,1.0,0.01,0.8,1.0,37.80707449836786
100.0,1.0,0.01,0.8,2.0,10.831908199032961
100.0,1.0,0.01,0.8,5.0,0.25474206416047845
100.0,1.0,0.01,0.8,10.0,0.0004917678714297801
100.0,1.0,0.01,3.0,0.5,111.7014374110579
100.0,1.0,0.01,3.0,1.0,94.55322541247324
100.0,1.0,0.01,3.0,2.0,67.75034652377838
100.0,1.0,0.01,3.0,5.0,24.923959618339154
100.0,1.0,0.01,3.0,10.0,4.707527898012856
100.0,1.0,0.01,9.6,0.5,125.26267191509938
100.0,1.0,0.01,9.6,1.0,118.90556117723119
100.0,1.0,0.01,9.6,2.0,107.14284110862297
100.0,1.0,0.01,9.6,5.0,78.38737708481531
100.0,1.0,0.01,9.6,10.0,46.56408680016609
100.0,1.0,0.03,0.8,0.5,211.89874228174392
100.0,1.0,0.03,0.8,1.0,113.42122349510359
100.0,1.0,0.03,0.8,2.0,32.49572459709888
100.0,1.0,0.03,0.8,5.0,0.7642261924814353
100.0,1.0,0.03,0.8,10.0,0.0014753036142893402
100.0,1.0,0.03,3.0,0.5,335.10431223317363
100.0,1.0,0.03,3.0,1.0,283.6596762374197
100.0,1.0,0.03,3.0,2.0,203.2510395713351
100.0,1.0,0.03,3.0,5.0,74.77187885501746
100.0,1.0,0.03,3.0,10.0,14.122583694038564
100.0,1.0,0.03,9.6,0.5,375.7880157452982
100.0,1.0,0.03,9.6,1.0,356.7166835316936
100.0,1.0,0.03,9.6,2.0,321.4285233258689
100.0,1.0,0.03,9.6,5.0,235.16213125444594
100.0,1.0,0.03,9.6,10.0,139.69226040049824
100.0,1.0,0.1,0.8,0.5,706.3291409391464
100.0,1.0,0.1,0.8,1.0,378.07074498367865
100.0,1.0,0.1,0.8,2.0,108.31908199032961
100.0,1.0,0.1,0.8,5.0,2.5474206416047847
100.0,1.0,0.1,0.8,10.0,0.0049176787142978014
100.0,1.0,0.1,3.0,0.5,1117.014374110579
100.0,1.0,0.1,3.0,1.0,945.5322541247326
100.0,1.0,0.1,3.0,2.0,677.5034652377836
100.0,1.0,0.1,3.0,5.0,249.23959618339154
100.0,1.0,0.1,3.0,10.0,47.07527898012856
100.0,1.0,0.1,9.6,0.5,1252.6267191509944
100.0,1.0,0.1,9.6,1.0,1189.0556117723122
100.0,1.0,0.1,9.6,2.0,1071.4284110862297
100.0,1.0,0.1,9.6,5.0,783.8737708481531
100.0,1.0,0.1,9.6,10.0,465.6408680016609
100.0,10.0,0.01,0.8,0.5,64.09895178393485
100.0,10.0,0.01,0.8,1.0,34.30969649843883
100.0,10.0,0.01,0.8,2.0,9.829892625619996
100.0,10.0,0.01,0.8,5.0,0.23117691656118913
100.0,10.0,0.01,0.8,10.0,0.0004462764347759156
100.0,10.0,0.01,3.0,0.5,101.36839379566925
100.0,10.0,0.01,3.0,1.0,85.8064928295491
100.0,10.0,0.01,3.0,2.0,61.48303876289728
100.0,10.0,0.01,3.0,5.0,22.618345941616774
100.0,10.0,0.01,3.0,10.0,4.272053724911388
100.0,10.0,0.01,9.6,0.5,113.67513390056433
100.0,10.0,0.01,9.6,1.0,107.9060935048934
100.0,10.0,0.01,9.6,2.0,97.2314946128933
100.0,10.0,0.01,9.6,5.0,71.13608108463394
100.0,10.0,0.01,9.6,10.0,42.25663336922906
100.0,10.0,0.03,0.8,0.5,192.29685535180448
100.0,10.0,0.03,0.8,1.0,102.9290894953165
100.0,10.0,0.03,0.8,2.0,29.489677876859982
100.0,10.0,0.03,0.8,5.0,0.6935307496835673
100.0,10.0,0.03,0.8,10.0,0.0013388293043277465
100.0,10.0,0.03,3.0,0.5,304.1051813870077
100.0,10.0,0.03,3.0,1.0,257.4194784886473
100.0,10.0,0.03,3.0,2.0,184.4491162886918
100.0,10.0,0.03,3.0,5.0,67.85503782485033
100.0,10.0,0.03,3.0,10.0,12.816161174734164
100.0,10.0,0.03,9.6,0.5,341.02540170169306
100.0,10.0,0.03,9.6,1.0,323.71828051468026
100.0,10.0,0.03,9.6,2.0,291.6944838386799
100.0,10.0,0.03,9.6,5.0,213.40824325390182
100.0,10.0,0.03,9.6,10.0,126.76990010768716
100.0,10.0,0.1,0.8,0.5,640.9895178393483
100.0,10.0,0.1,0.8,1.0,343.09696498438836
100.0,10.0,0.1,0.8,2.0,98.29892625619995
100.0,10.0,0.1,0.8,5.0,2.3117691656118913
